Nat,Pokemon,Generation,HP,Atk,Def,SpA,SpD,Spe,Total,Type I,Type II,Ability I,Ability II,Hidden Ability,EV Worth,Gender,Egg Group I,Egg Group II,Catch,Evolve
196,Espeon,II,65,65,60,130,95,110,525,Psychic,,Synchronize,,Magic Bounce,2 SpA,M (87.5%),Field,,45,Morn/Day Friendship
197,Umbreon,II,95,65,110,60,130,65,525,Dark,,Synchronize,,Inner Focus,2 SpD,M (87.5%),Field,,45,Nite Friendship
198,Murkrow,II,60,85,42,85,42,91,405,Dark,Flying,Insomnia,Super Luck,Prankster,1 Spe,Neutral,Flying,,30,
199,Slowking,II,95,75,80,100,110,30,490,Water,Psychic,Oblivious,Own Tempo,Regenerator,3 SpD,Neutral,Monster,Water 1,70,Trade h/ Kings Rock
200,Misdreavus,II,60,60,60,85,85,85,435,Ghost,,Levitate,,,1 SpD,Neutral,Amorphous,,45,
201,Unown,II,48,72,48,72,48,48,336,Psychic,,Levitate,,,1 Atk/1 SpA,None,-,,225,N
202,Wobbuffet,II,190,33,58,33,58,33,405,Psychic,,Shadow Tag,,Telepathy,2 HP,Neutral,Amorphous,,45,Lv. 15
203,Girafarig,II,70,80,65,90,65,85,455,Normal,Psychic,Inner Focus,Early Bird,Sap Sipper,2 SpA,Neutral,Field,,60,N
204,Pineco,II,50,65,90,35,35,15,290,Bug,,Sturdy,,Overcoat,1 Def,Neutral,Bug,,190,
205,Forretress,II,75,90,140,60,60,40,465,Bug,Steel,Sturdy,,Overcoat,2 Def,Neutral,Bug,,75,Lv. 31
206,Dunsparce,II,100,70,70,65,65,45,415,Normal,,Serene Grace,Run Away,Rattled,1 HP,Neutral,Field,,190,N
207,Gligar,II,65,75,105,35,65,85,430,Ground,Flying,Hyper Cutter,Sand Veil,Immunity,1 Def,Neutral,Bug,,60,
208,Steelix,II,75,85,200,55,65,30,510,Steel,Ground,Rock Head,Sturdy,Sheer Force,2 Def,Neutral,Mineral,,25,Trade h/ Metal Coat
209,Snubbull,II,60,80,50,40,40,30,300,Fairy,,Intimidate,Run Away,Rattled,1 Atk,F (75%),Field,Fairy,190,
210,Granbull,II,90,120,75,60,60,45,450,Fairy,,Intimidate,Quick Feet,Rattled,2 Atk,F (75%),Field,Fairy,75,Lv. 23
211,Qwilfish,II,65,95,85,55,55,85,440,Water,Poison,Poison Point,Swift Swim,Intimidate,1 Atk,Neutral,Water 2,,45,N
212,Scizor,II,70,130,100,55,80,65,500,Bug,Steel,Swarm,Technician,Light Metal,2 Atk,Neutral,Bug,,25,Trade h/ Metal Coat
213,Shuckle,II,20,10,230,10,230,5,505,Bug,Rock,Sturdy,Gluttony,Contrary,1 Def/1 SpD,Neutral,Bug,,190,N
214,Heracross,II,80,125,75,40,95,85,500,Bug,Fighting,Swarm,Guts,Moxie,2 Atk,Neutral,Bug,,45,N
215,Sneasel,II,55,95,55,35,75,115,430,Dark,Ice,Inner Focus,Keen Eye,Pickpocket,1 Spe,Neutral,Field,,60,
216,Teddiursa,II,60,80,50,50,50,40,330,Normal,,Pickup,Quick Feet,Honey Gather,1 Atk,Neutral,Field,,120,
217,Ursaring,II,90,130,75,75,75,55,500,Normal,,Guts,Quick Feet,Unnerve,2 Atk,Neutral,Field,,60,Lv. 30
218,Slugma,II,40,40,40,70,40,20,250,Fire,,Magma Armor,Flame Body,Weak Armor,1 SpA,Neutral,Amorphous,,190,
219,Magcargo,II,60,50,120,90,80,30,430,Fire,Rock,Magma Armor,Flame Body,Weak Armor,2 Def,Neutral,Amorphous,,75,Lv. 38
220,Swinub,II,50,50,40,30,30,50,250,Ice,Ground,Oblivious,Snow Cloak,Thick Fat,1 Atk,Neutral,Field,,225,
221,Piloswine,II,100,100,80,60,60,50,450,Ice,Ground,Oblivious,Snow Cloak,Thick Fat,1 HP/1 Atk,Neutral,Field,,75,Lv. 33
222,Corsola,II,65,55,95,65,95,35,410,Water,Rock,Hustle,Natural Cure,Regenerator,1 Def/1 SpD,F (75%),Water 1,Water 3,60,N
223,Remoraid,II,35,65,35,65,35,65,300,Water,,Hustle,Sniper,Moody,1 SpA,Neutral,Water 1,Water 2,190,
224,Octillery,II,75,105,75,105,75,45,480,Water,,Suction Cups,Sniper,Moody,1 Atk/1 SpA,Neutral,Water 1,Water 2,75,Lv. 25
225,Delibird,II,45,55,45,65,45,75,330,Ice,Flying,Vital Spirit,Hustle,Insomnia,1 Spe,Neutral,Water 1,Field,45,N
226,Mantine,II,85,40,70,80,140,70,485,Water,Flying,Swift Swim,Water Absorb,Water Veil,2 SpD,Neutral,Water 1,,25,Level t/ Remoraid
227,Skarmory,II,65,80,140,40,70,70,465,Steel,Flying,Keen Eye,Sturdy,Weak Armor,2 Def,Neutral,Flying,,25,N
228,Houndour,II,45,60,30,80,50,65,330,Dark,Fire,Early Bird,Flash Fire,Unnerve,1 SpA,Neutral,Field,,120,
229,Houndoom,II,75,90,50,110,80,95,500,Dark,Fire,Early Bird,Flash Fire,Unnerve,2 SpA,Neutral,Field,,45,Lv. 24
230,Kingdra,II,75,95,95,95,95,85,540,Water,Dragon,Swift Swim,Sniper,Damp,1 Atk/1 SpA/1 SpD,Neutral,Water 1,Dragon,45,Trade h/ Dragon Scale
231,Phanpy,II,90,60,60,40,40,40,330,Ground,,Pickup,,Sand Veil,1 HP,Neutral,Field,,120,
232,Donphan,II,90,120,120,60,60,50,500,Ground,,Sturdy,,Sand Veil,1 Atk/1 Def,Neutral,Field,,60,Lv. 25
233,Porygon2,II,85,80,90,105,95,60,515,Normal,,Trace,Download,Analytic,2 SpA,None,Mineral,,45,Trade w/ Up-Grade
234,Stantler,II,73,95,62,85,65,85,465,Normal,,Intimidate,Frisk,Sap Sipper,1 Atk,Neutral,Field,,45,N
235,Smeargle,II,55,20,35,20,45,75,250,Normal,,Own Tempo,Technician,Moody,1 Spe,Neutral,Field,,45,N
236,Tyrogue,II,35,35,35,35,35,35,210,Fighting,,Guts,Steadfast,Vital Spirit,1Atk,M (100%),-,,75,
237,Hitmontop,II,50,95,95,35,110,70,455,Fighting,,Intimidate,Technician,Steadfast,2 SpD,M (100%),Human-Like,,45,Lv. 20 (Atk=Def)
238,Smoochum,II,45,30,15,85,65,65,305,Ice,Psychic,Oblivious,Forewarn,Hydration,1 SpA,F (100%),-,,45,
239,Elekid,II,45,63,37,65,55,95,360,Electric,,Static,,Vital Spirit,1 Spe,M (75%),-,,45,
240,Magby,II,45,75,37,70,55,83,365,Fire,,Flame Body,,Vital Spirit,1 Spe,M (75%),-,,45,
241,Miltank,II,95,80,105,40,70,100,490,Normal,,Thick Fat,Scrappy,Sap Sipper,2 Def,F (100%),Field,,45,N
242,Blissey,II,255,10,10,75,135,55,540,Normal,,Natural Cure,Serene Grace,Healer,3 HP,F (100%),Fairy,,30,Friendship
243,Raikou,II,90,85,75,115,100,115,580,Electric,,Pressure,,Inner Focus,1 SpA/2 Spe,None,-,,3,N
244,Entei,II,115,115,85,90,75,100,580,Fire,,Pressure,,Inner Focus,1 HP/2 Atk,None,-,,3,N
245,Suicune,II,100,75,115,90,115,85,580,Water,,Pressure,,Inner Focus,1 Def/2 SpD,None,-,,3,N
246,Larvitar,II,50,64,50,45,50,41,300,Rock,Ground,Guts,,Sand Veil,1 Atk,Neutral,Monster,,45,
247,Pupitar,II,70,84,70,65,70,51,410,Rock,Ground,Shed Skin,,,2 Atk,Neutral,Monster,,45,Lv. 30
248,Tyranitar,II,100,134,110,95,100,61,600,Rock,Dark,Sand Stream,,Unnerve,3 Atk,Neutral,Monster,,45,Lv. 55
249,Lugia,II,106,90,130,90,154,110,680,Psychic,Flying,Pressure,,Multiscale,3 SpD,None,-,,3,N
250,Ho-oh,II,106,130,90,110,154,90,680,Fire,Flying,Pressure,,Regenerator,3 SpD,None,-,,3,N
251,Celebi,II,100,100,100,100,100,100,600,Psychic,Grass,Natural Cure,,,3 HP,None,-,,45,N
252,Treecko,III,40,45,35,65,55,70,310,Grass,,Overgrow,,Unburden,1 Spe,M (87.5%),Monster,Dragon,45,
253,Grovyle,III,50,65,45,85,65,95,405,Grass,,Overgrow,,Unburden,2 Spe,M (87.5%),Monster,Dragon,45,Lv. 16
254,Sceptile,III,70,85,65,105,85,120,530,Grass,,Overgrow,,Unburden,3 Spe,M (87.5%),Monster,Dragon,45,Lv. 36
255,Torchic,III,45,60,40,70,50,45,310,Fire,,Blaze,,Speed Boost,1 SpA,M (87.5%),Field,,45,
256,Combusken,III,60,85,60,85,60,55,405,Fire,Fighting,Blaze,,Speed Boost,1 Atk/1 SpA,M (87.5%),Field,,45,Lv. 16
257,Blaziken,III,80,120,70,110,70,80,530,Fire,Fighting,Blaze,,Speed Boost,3 Atk,M (87.5%),Field,,45,Lv. 36
258,Mudkip,III,50,70,50,50,50,40,310,Water,,Torrent,,Damp,1 Atk,M (87.5%),Monster,Water 1,45,
259,Marshtomp,III,70,85,70,60,70,50,405,Water,Ground,Torrent,,Damp,2 Atk,M (87.5%),Monster,Water 1,45,Lv. 16
260,Swampert,III,100,110,90,85,90,60,535,Water,Ground,Torrent,,Damp,3 Atk,M (87.5%),Monster,Water 1,45,Lv. 36
261,Poochyena,III,35,55,35,30,30,35,220,Dark,,Run Away,Quick Feet,Rattled,1 Atk,Neutral,Field,,255,
262,Mightyena,III,70,90,70,60,60,70,420,Dark,,Intimidate,Quick Feet,Moxie,2 Atk,Neutral,Field,,127,Lv. 18
263,Zigzagoon,III,38,30,41,30,41,60,240,Normal,,Pickup,Gluttony,Quick Feet,1 Spe,Neutral,Field,,255,
264,Linoone,III,78,70,61,50,61,100,420,Normal,,Pickup,Gluttony,Quick Feet,2 Spe,Neutral,Field,,90,Lv. 20
265,Wurmple,III,45,45,35,20,30,20,195,Bug,,Shield Dust,,Run Away,1 HP,Neutral,Bug,,255,
266,Silcoon,III,50,35,55,25,25,15,205,Bug,,Shed Skin,,,2 Def,Neutral,Bug,,120,Lv. 7
267,Beautifly,III,60,70,50,100,50,65,395,Bug,Flying,Swarm,,Rivalry,3 SpA,Neutral,Bug,,45,Lv. 10
268,Cascoon,III,50,35,55,25,25,15,205,Bug,,Shed Skin,,,2 Def,Neutral,Bug,,120,Lv. 7
269,Dustox,III,60,50,70,50,90,65,385,Bug,Poison,Shield Dust,,Compound Eyes,3 SpD,Neutral,Bug,,45,Lv. 10
270,Lotad,III,40,30,30,40,50,30,220,Water,Grass,Swift Swim,Rain Dish,Own Tempo,1 SpD,Neutral,Water 1,Grass,255,
271,Lombre,III,60,50,50,60,70,50,340,Water,Grass,Swift Swim,Rain Dish,Own Tempo,2 SpD,Neutral,Water 1,Grass,120,Lv. 14
272,Ludicolo,III,80,70,70,90,100,70,480,Water,Grass,Swift Swim,Rain Dish,Own Tempo,3 SpD,Neutral,Water 1,Grass,45,Water Stone
273,Seedot,III,40,40,50,30,30,30,220,Grass,,Chlorophyll,Early Bird,Pickpocket,1 Def,Neutral,Field,Grass,255,
274,Nuzleaf,III,70,70,40,60,40,60,340,Grass,Dark,Chlorophyll,Early Bird,Pickpocket,2 Atk,Neutral,Field,Grass,120,Lv. 14
275,Shiftry,III,90,100,60,90,60,80,480,Grass,Dark,Chlorophyll,Early Bird,Pickpocket,3 Atk,Neutral,Field,Grass,45,Leaf Stone
276,Taillow,III,40,55,30,30,30,85,270,Normal,Flying,Guts,,Scrappy,1 Spe,Neutral,Flying,,200,
277,Swellow,III,60,85,60,75,50,125,455,Normal,Flying,Guts,,Scrappy,2 Spe,Neutral,Flying,,45,Lv. 22
278,Wingull,III,40,30,30,55,30,85,270,Water,Flying,Keen Eye,,Rain Dish,1 Spe,Neutral,Water 1,Flying,190,
279,Pelipper,III,60,50,100,95,70,65,440,Water,Flying,Keen Eye,,Rain Dish,2 Def,Neutral,Water 1,Flying,45,Lv. 25
280,Ralts,III,28,25,25,45,35,40,198,Psychic,Fairy,Synchronize,Trace,Pixilate,1 SpA,Neutral,Human-Like,Amorphous,235,
281,Kirlia,III,38,35,35,65,55,50,278,Psychic,Fairy,Synchronize,Trace,Pixilate,2 SpA,Neutral,Human-Like,Amorphous,120,Lv. 20
282,Gardevoir,III,68,65,65,125,115,80,518,Psychic,Fairy,Synchronize,Trace,Pixilate,3 SpA,Neutral,Human-Like,Amorphous,45,Lv. 30
283,Surskit,III,40,30,32,50,52,65,269,Bug,Water,Swift Swim,,Rain Dish,1 Spe,Neutral,Water 1,Bug,200,
284,Masquerain,III,70,60,62,100,82,80,454,Bug,Flying,Intimidate,,Unnerve,1 SpA/1 SpD,Neutral,Water 1,Bug,75,Lv. 22
285,Shroomish,III,60,40,60,40,60,35,295,Grass,,Effect Spore,Poison Heal,Quick Feet,1 HP,Neutral,Fairy,Grass,255,
286,Breloom,III,60,130,80,60,60,70,460,Grass,Fighting,Effect Spore,Poison Heal,Technician,2 Atk,Neutral,Fairy,Grass,90,Lv. 23
287,Slakoth,III,60,60,60,35,35,30,280,Normal,,Truant,,,1 HP,Neutral,Field,,255,
288,Vigoroth,III,80,80,80,55,55,90,440,Normal,,Vital Spirit,,,2 Spe,Neutral,Field,,120,Lv. 18
289,Slaking,III,150,160,100,95,65,100,670,Normal,,Truant,,,3 HP,Neutral,Field,,45,Lv. 36
290,Nincada,III,31,45,90,30,30,40,266,Bug,Ground,Compoundeyes,,Run Away,1 Def,Neutral,Bug,,255,
291,Ninjask,III,61,90,45,50,50,160,456,Bug,Flying,Speed Boost,,Infiltrator,2 Spe,Neutral,Bug,,120,Lv. 20
292,Shedinja,III,1,90,45,30,30,40,236,Bug,Ghost,Wonder Guard,,,2 HP,None,Mineral,,45,Lv. 20 t/ Empty Space
293,Whismur,III,64,51,23,51,23,28,240,Normal,,Soundproof,,Rattled,1 HP,Neutral,Monster,Field,190,
294,Loudred,III,84,71,43,71,43,48,360,Normal,,Soundproof,,Scrappy,2 HP,Neutral,Monster,Field,120,Lv. 20
295,Exploud,III,104,91,63,91,73,68,490,Normal,,Soundproof,,Scrappy,3 HP,Neutral,Monster,Field,45,Lv. 40
296,Makuhita,III,72,60,30,20,30,25,237,Fighting,,Thick Fat,Guts,Sheer Force,1 HP,M (75%),Human-Like,,180,
297,Hariyama,III,144,120,60,40,60,50,474,Fighting,,Thick Fat,Guts,Sheer Force,2 HP,M (75%),Human-Like,,200,Lv. 24
298,Azurill,III,50,20,40,20,40,20,190,Normal,Fairy,Thick Fat,Huge Power,Sap Sipper,1 HP,Neutral,-,,150,
299,Nosepass,III,30,45,135,45,90,30,375,Rock,,Sturdy,Magnet Pull,Sand Force,1 Def,Neutral,Mineral,,255,
300,Skitty,III,50,45,45,35,35,50,260,Normal,,Cute Charm,Normalize,Wonder Skin,1 Spe,F (75%),Field,Fairy,255,
301,Delcatty,III,70,65,65,55,55,90,400,Normal,,Cute Charm,Normalize,Wonder Skin,1 HP/1 Spe,F (75%),Field,Fairy,60,Moon Stone
302,Sableye,III,50,75,75,65,65,50,380,Dark,Ghost,Keen Eye,Stall,Prankster,1 Atk/1 Def,Neutral,Human-Like,,45,N
303,Mawile,III,50,85,85,55,55,50,380,Steel,Fairy,Hyper Cutter,Intimidate,Sheer Force,1 Atk/1 Def,Neutral,Field,Fairy,45,N
304,Aron,III,50,70,100,40,40,30,330,Steel,Rock,Sturdy,Rock Head,Heavy Metal,1 Def,Neutral,Monster,,180,
305,Lairon,III,60,90,140,50,50,40,430,Steel,Rock,Sturdy,Rock Head,Heavy Metal,2 Def,Neutral,Monster,,90,Lv. 32
306,Aggron,III,70,110,180,60,60,50,530,Steel,Rock,Sturdy,Rock Head,Heavy Metal,3 Def,Neutral,Monster,,45,Lv. 42
307,Meditite,III,30,40,55,40,55,60,280,Fighting,Psychic,Pure Power,,Telepathy,1 Spe,Neutral,Human-Like,,180,
308,Medicham,III,60,60,75,60,75,80,410,Fighting,Psychic,Pure Power,,Telepathy,2 Spe,Neutral,Human-Like,,90,Lv. 37
309,Electrike,III,40,45,40,65,40,65,295,Electric,,Static,Lightningrod,Minus,1 Spe,Neutral,Field,,120,
310,Manectric,III,70,75,60,105,60,105,475,Electric,,Static,Lightningrod,Minus,2 Spe,Neutral,Field,,45,Lv. 26
311,Plusle,III,60,50,40,85,75,95,405,Electric,,Plus,,Lightning Rod,1 Spe,Neutral,Fairy,,200,N
312,Minun,III,60,40,50,75,85,95,405,Electric,,Minus,,Volt Absorb,1 Spe,Neutral,Fairy,,200,N
313,Volbeat,III,65,73,75,47,85,85,430,Bug,,Illuminate,Swarm,Prankster,1 Spe,M (100%),Bug,Human-Like,150,N
314,Illumise,III,65,47,75,73,85,85,430,Bug,,Oblivious,Tinted Lens,Prankster,1 Spe,F (100%),Bug,Human-Like,150,N
315,Roselia,III,50,60,45,100,80,65,400,Grass,Poison,Natural Cure,Poison Point,Leaf Guard,2 SpA,Neutral,Fairy,Grass,150,Morn/Day Friendship
316,Gulpin,III,70,43,53,43,53,40,302,Poison,,Liquid Ooze,Sticky Hold,Gluttony,1 HP,Neutral,Amorphous,,225,
317,Swalot,III,100,73,83,73,83,55,467,Poison,,Liquid Ooze,Sticky Hold,Gluttony,2 HP,Neutral,Amorphous,,75,Lv. 26
318,Carvanha,III,45,90,20,65,20,65,305,Water,Dark,Rough Skin,,Speed Boost,1 Atk,Neutral,Water 2,,225,
319,Sharpedo,III,70,120,40,95,40,95,460,Water,Dark,Rough Skin,,Speed Boost,2 Atk,Neutral,Water 2,,60,Lv. 30
320,Wailmer,III,130,70,35,70,35,60,400,Water,,Water Veil,Oblivious,Pressure,1 HP,Neutral,Field,Water 2,125,
321,Wailord,III,170,90,45,90,45,60,500,Water,,Water Veil,Oblivious,Pressure,2 HP,Neutral,Field,Water 2,60,Lv. 40
322,Numel,III,60,60,40,65,45,35,305,Fire,Ground,Oblivious,Simple,Own Tempo,1 SpA,Neutral,Field,,255,
323,Camerupt,III,70,100,70,105,75,40,460,Fire,Ground,Magma Armor,Solid Rock,Anger Point,1 Atk/1 SpA,Neutral,Field,,150,Lv. 33
324,Torkoal,III,70,85,140,85,70,20,470,Fire,,White Smoke,Drought,Shell Armor,2 Def,Neutral,Field,,90,N
325,Spoink,III,60,25,35,70,80,60,330,Psychic,,Thick Fat,Own Tempo,Gluttony,1 SpD,Neutral,Field,,255,
326,Grumpig,III,80,45,65,90,110,80,470,Psychic,,Thick Fat,Own Tempo,Gluttony,2 SpD,Neutral,Field,,60,Lv. 32
327,Spinda,III,60,60,60,60,60,60,360,Normal,,Own Tempo,Tangled Feet,Contrary,1 SpA,Neutral,Field,Human-Like,255,N
328,Trapinch,III,45,100,45,45,45,10,290,Ground,,Hyper Cutter,Arena Trap,Sheer Force,1 Atk,Neutral,Bug,Dragon,255,
329,Vibrava,III,50,70,50,50,50,70,340,Ground,Dragon,Levitate,,,1 Atk/1 Spe,Neutral,Bug,Dragon,120,Lv. 35
330,Flygon,III,80,100,80,80,80,100,520,Ground,Dragon,Levitate,,,1 Atk/2 Spe,Neutral,Bug,Dragon,45,Lv. 45
331,Cacnea,III,50,85,40,85,40,35,335,Grass,,Sand Veil,,Water Absorb,1 SpA,Neutral,Grass,Human-Like,190,
332,Cacturne,III,70,115,60,115,60,55,475,Grass,Dark,Sand Veil,,Water Absorb,1 Atk/1 SpA,Neutral,Grass,Human-Like,60,Lv. 32
333,Swablu,III,45,40,60,40,75,50,310,Normal,Flying,Natural Cure,,Cloud Nine,1 SpD,Neutral,Flying,Dragon,255,
334,Altaria,III,75,70,90,70,105,80,490,Dragon,Flying,Natural Cure,,Cloud Nine,2 SpD,Neutral,Flying,Dragon,45,Lv. 35
335,Zangoose,III,73,115,60,60,60,90,458,Normal,,Immunity,,Toxic Boost,2 Atk,Neutral,Field,,90,N
336,Seviper,III,73,100,60,100,60,65,458,Poison,,Shed Skin,,Infiltrator,1 Atk/1 SpA,Neutral,Field,Dragon,90,N
337,Lunatone,III,90,55,65,95,85,70,460,Rock,Psychic,Levitate,,,2 SpA,None,Mineral,,45,N
338,Solrock,III,90,95,85,55,65,70,460,Rock,Psychic,Levitate,,,2 Atk,None,Mineral,,45,N
339,Barboach,III,50,48,43,46,41,60,288,Water,Ground,Oblivious,Anticipate,Hydration,1 HP,Neutral,Water 2,,190,
340,Whiscash,III,110,78,73,76,71,60,468,Water,Ground,Oblivious,Anticipate,Hydration,2 HP,Neutral,Water 2,,75,Lv. 30
341,Corphish,III,43,80,65,50,35,35,308,Water,,Hyper Cutter,Shell Armor,Adaptability,1 Atk,Neutral,Water 1,Water 3,205,
342,Crawdaunt,III,63,120,85,90,55,55,468,Water,Dark,Hyper Cutter,Shell Armor,Adaptability,2 Atk,Neutral,Water 1,Water 3,155,Lv. 30
343,Baltoy,III,40,40,55,40,70,55,300,Ground,Psychic,Levitate,,,1 SpD,None,Mineral,,255,
344,Claydol,III,60,70,105,70,120,75,500,Ground,Psychic,Levitate,,,2 SpD,None,Mineral,,90,Lv. 36
345,Lileep,III,66,41,77,61,87,23,355,Rock,Grass,Suction Cups,,Storm Drain,1 SpD,M (87.5%),Water 3,,45,
346,Cradily,III,86,81,97,81,107,43,495,Rock,Grass,Suction Cups,,Storm Drain,2 SpD,M (87.5%),Water 3,,45,Lv. 40
347,Anorith,III,45,95,50,40,50,75,355,Rock,Bug,Battle Armor,,Swift Swim,1 Atk,M (87.5%),Water 3,,45,
348,Armaldo,III,75,125,100,70,80,45,495,Rock,Bug,Battle Armor,,Swift Swim,2 Atk,M (87.5%),Water 3,,45,Lv. 40
349,Feebas,III,20,15,20,10,55,80,200,Water,,Swift Swim,,Adaptability,1 Spe,Neutral,Water 1,Dragon,255,
350,Milotic,III,95,60,79,100,125,81,540,Water,,Marvel Scale,,Cute Charm,2 SpD,Neutral,Water 1,Dragon,60,Level w/ Max Beauty
351,Castform,III,70,70,70,70,70,70,420,Normal,,Forecast,,,1 HP,Neutral,Fairy,Amorphous,45,N
352,Kecleon,III,60,90,70,60,120,40,440,Normal,,Color Change,,Protean,1 SpD,Neutral,Field,,200,N
353,Shuppet,III,44,75,35,63,33,45,295,Ghost,,Insomnia,Frisk,Cursed Body,1 Atk,Neutral,Amorphous,,225,
354,Banette,III,64,115,65,83,63,65,455,Ghost,,Insomnia,Frisk,Cursed Body,2 Atk,Neutral,Amorphous,,45,Lv. 37
355,Duskull,III,20,40,90,30,90,25,295,Ghost,,Levitate,,Frisk,1 SpD,Neutral,Amorphous,,190,
356,Dusclops,III,40,70,130,60,130,25,455,Ghost,,Pressure,,Frisk,1 Def/1 SpD,Neutral,Amorphous,,90,Lv. 37
357,Tropius,III,99,68,83,72,87,51,460,Grass,Flying,Chlorophyll,Solar Power,Harvest,2 HP,Neutral,Monster,Grass,200,N
358,Chimecho,III,75,50,80,95,90,65,455,Psychic,,Levitate,,,1 SpA/1 SpD,Neutral,Amorphous,,45,Nite Friendship
359,Absol,III,65,130,60,75,60,75,465,Dark,,Pressure,Super Luck,Justified,2 Atk,Neutral,Field,,30,N
360,Wynaut,III,95,23,48,23,48,23,260,Psychic,,Shadow Tag,,Telepathy,1 HP,Neutral,-,,125,
361,Snorunt,III,50,50,50,50,50,50,300,Ice,,Inner Focus,Ice Body,Moody,1 HP,Neutral,Fairy,Mineral,190,
362,Glalie,III,80,80,80,80,80,80,480,Ice,,Inner Focus,Ice Body,Moody,2 HP,Neutral,Fairy,Mineral,75,Lv. 42
363,Spheal,III,70,40,50,55,50,25,290,Ice,Water,Thick Fat,Ice Body,Oblivious,1 HP,Neutral,Water 1,Field,255,
364,Sealeo,III,90,60,70,75,70,45,410,Ice,Water,Thick Fat,Ice Body,Oblivious,2 HP,Neutral,Water 1,Field,120,Lv. 32
365,Walrein,III,110,80,90,95,90,65,530,Ice,Water,Thick Fat,Ice Body,Oblivious,3 HP,Neutral,Water 1,Field,45,Lv. 44
366,Clamperl,III,35,64,85,74,55,32,345,Water,,Shell Armor,,Rattled,1 Def,Neutral,Water 1,,255,
367,Huntail,III,55,104,105,94,75,52,485,Water,,Swift Swim,,Water Veil,1 Atk/1 Def,Neutral,Water 1,,60,Trade w/ Deepseatooth
368,Gorebyss,III,55,84,105,114,75,52,485,Water,,Swift Swim,,Hydration,2 SpA,Neutral,Water 1,,60,Trade w/ Deepseascale
369,Relicanth,III,100,90,130,45,65,55,485,Water,Rock,Swift Swim,Rock Head,Sturdy,1 HP/1 Def,M (87.5%),Water 1,Water 2,25,N
370,Luvdisc,III,43,30,55,40,65,97,330,Water,,Swift Swim,,Hydration,1 Spe,F (75%),Water 2,,225,N
371,Bagon,III,45,75,60,40,30,50,300,Dragon,,Rock Head,,Sheer Force,1 Atk,Neutral,Dragon,,45,
372,Shelgon,III,65,95,100,60,50,50,420,Dragon,,Rock Head,,Overcoat,2 Def,Neutral,Dragon,,45,Lv. 30
373,Salamence,III,95,135,80,110,80,100,600,Dragon,Flying,Intimidate,,Moxie,3 Atk,Neutral,Dragon,,45,Lv. 50
374,Beldum,III,40,55,80,35,60,30,300,Steel,Psychic,Clear Body,,Light Metal,1 Def,None,Mineral,,3,
375,Metang,III,60,75,100,55,80,50,420,Steel,Psychic,Clear Body,,Light Metal,2 Def,None,Mineral,,3,Lv. 20
376,Metagross,III,80,135,130,95,90,70,600,Steel,Psychic,Clear Body,,Light Metal,3 Def,None,Mineral,,3,Lv. 45
377,Regirock,III,80,100,200,50,100,50,580,Rock,,Clear Body,,Sturdy,3 Def,None,-,,3,N
378,Regice,III,80,50,100,100,200,50,580,Ice,,Clear Body,,Ice Body,3 SpD,None,-,,3,N
379,Registeel,III,80,75,150,75,150,50,580,Steel,,Clear Body,,Light Metal,2 Def/1 SpD,None,-,,3,N
380,Latias,III,80,80,90,110,130,110,600,Dragon,Psychic,Levitate,,,3 SpD,F (100%),-,,3,N
381,Latios,III,80,90,80,130,110,110,600,Dragon,Psychic,Levitate,,,3 SpA,M (100%),-,,3,N
382,Kyogre,III,100,100,90,150,140,90,670,Water,,Drizzle,,,3 SpA,None,-,,3,N
383,Groudon,III,100,150,140,100,90,90,670,Ground,,Drought,,,3 Atk,None,-,,3,N
384,Rayquaza,III,105,150,90,150,90,95,680,Dragon,Flying,Air Lock,,,2 Atk/1 SpA,None,-,,45,N
385,Jirachi,III,100,100,100,100,100,100,600,Steel,Psychic,Serene Grace,,,3 HP,None,-,,3,N
386,Deoxys (N),III,50,150,50,150,50,150,600,Psychic,,Pressure,,,1 Atk/1 SpA/1 Spe,None,-,,3,N
387,Turtwig,IV,55,68,64,45,55,31,318,Grass,,Overgrow,,Shell Armor,1 Atk,M (87.5%),Monster,Grass,45,
388,Grotle,IV,75,89,85,55,65,36,405,Grass,,Overgrow,,Shell Armor,1 Atk/1 Def,M (87.5%),Monster,Grass,45,Lv. 18
389,Torterra,IV,95,109,105,75,85,56,525,Grass,Ground,Overgrow,,Shell Armor,2 Atk/1 Def,M (87.5%),Monster,Grass,45,Lv. 32
390,Chimchar,IV,44,58,44,58,44,61,309,Fire,,Blaze,,Iron Fist,1 Spe,M (87.5%),Field,Human-Like,45,
391,Monferno,IV,64,78,52,78,52,81,405,Fire,Fighting,Blaze,,Iron Fist,1 Spe/1 SpA,M (87.5%),Field,Human-Like,45,Lv. 14
392,Infernape,IV,76,104,71,104,71,108,534,Fire,Fighting,Blaze,,Iron Fist,1 Atk/1 SpA/1 Spe,M (87.5%),Field,Human-Like,45,Lv. 36
393,Piplup,IV,53,51,53,61,56,40,314,Water,,Torrent,,Defiant,1 SpA,M (87.5%),Water 1,Field,45,
394,Prinplup,IV,64,66,68,81,76,50,405,Water,,Torrent,,Defiant,2 SpA,M (87.5%),Water 1,Field,45,Lv. 16
395,Empoleon,IV,84,86,88,111,101,60,530,Water,Steel,Torrent,,Defiant,3 SpA,M (87.5%),Water 1,Field,45,Lv. 36
